"Sim_index" "S" "omega_T" "omega_P" "sigma_e" "disp_shape" "disp_scale" "seed" "divergence_factor" "max_species" "max_coex_sp" "start_species" "init_ab" "grid_cell_distance" "finished" "final_timestep" "initial_nb_species" "final_nb_species" "sp_events" "ex_events" "exchanged" "prop_col_area" "div_col" "dist_to_isthmus"
"491" "Simulation_491" 1.939 0.064 0.2 0.089 2.853 0.183 491 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5125.54828324403
"492" "Simulation_492" 1.688 0.03 0.106 0.07 1.284 0.296 492 0.05 12000 1000 1 500 111 1 0 1 222 222 0 1 0.0211606284065406 6 1645.77702190694
"493" "Simulation_493" 2.694 0.075 0.231 0.143 2.539 0.749 493 0.05 12000 1000 1 500 111 1 0 1 6 7 1 1 0.162552100032062 2 5488.80776766049
"494" "Simulation_494" 2.191 0.052 0.167 0.034 1.912 0.523 494 0.05 12000 1000 1 500 111 1 0 1 65 65 0 1 0.06957358127605 21 3435.91039338401
"495" "Simulation_495" 1.185 0.098 0.294 0.107 0.657 0.975 495 0.05 12000 1000 1 500 111 1 0 1 2 2 0 0 -1 -1 6276.93386806159
"496" "Simulation_496" 1.122 0.049 0.158 0.084 1.52 0.721 496 0.05 12000 1000 1 500 111 0 132 1 2338 2341 3 1 0.164475793523565 191 2824.02536813666
"497" "Simulation_497" 2.128 0.095 0.286 0.011 2.775 0.268 497 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.135941006732927 -1 2589.06528821569
"498" "Simulation_498" 2.631 0.027 0.097 0.12 2.147 0.947 498 0.05 12000 1000 1 500 111 1 0 1 9 9 0 0 -1 -1 5854.10113130397
"499" "Simulation_499" 1.625 0.072 0.222 0.048 0.892 0.494 499 0.05 12000 1000 1 500 111 1 0 1 212 218 6 1 0.119910227637063 88 5731.49459816128
"500" "Simulation_500" 1.876 0.015 0.064 0.102 1.833 0.381 500 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 8521.50711245958
